Feature_Eliminada,Importancia
shotpower,1478889.5140451598
defensiveawareness,1449085.3905566998
aggression,1308373.0196683854
crossing,1157909.3956651585
slidingtackle,1076053.3581961088
understat_xa,780787.5290160957
understat_key_passes,740806.4401802876
fk_accuracy,688245.1058609314
composure,662500.5394398898
agility,621121.3477101717
finishing,619575.2506103524
sprintspeed,506334.3434547498
understat_shots,443671.3480261765
understat_red_cards,412681.6641320192
curve,405445.90721973195
understat_xg,383836.02902485087
Posición específica,380854.25456785323
shortpassing,364029.3870970176
Pie bueno,312142.71039827744
volleys,293421.82819963875
understat_yellow_cards,290387.9700885357
stamina,282995.49848551245
Posición secundaria,259869.78091617097
positioning,177856.8454322294
balance,93138.38813127074
longshots,9668.323154440746
