Variable,Coeficiente,Importancia_Abs
overallrating,6053347.928079351,6053347.928079351
volleys,3628787.7429466867,3628787.7429466867
ballcontrol,3126306.563549497,3126306.563549497
longshots,-3107702.7669504867,3107702.7669504867
potential,3065923.984806827,3065923.984806827
finishing,-2660981.13561526,2660981.13561526
shotpower,-2063480.1149330842,2063480.1149330842
reactions,-1575045.9536121702,1575045.9536121702
crossing,-1345168.9232166396,1345168.9232166396
positioning,-1081814.6842653155,1081814.6842653155
