Posicion,Feature_Mantenida,Es_Protegida,Rank
Delantero,overallrating,True,1
Delantero,potential,True,2
Delantero,jumping,False,3
Delantero,standingtackle,False,4
Delantero,slidingtackle,False,5
Delantero,understat_xg,False,6
Delantero,strength,False,7
Delantero,agility,False,8
Delantero,volleys,False,9
Delantero,headingaccuracy,False,10
Delantero,longshots,False,11
Delantero,understat_matches,False,12
Delantero,understat_assists,False,13
Delantero,crossing,False,14
Delantero,understat_shots,False,15
Delantero,ballcontrol,False,16
Delantero,acceleration,False,17
Delantero,vision,False,18
Defensa,overallrating,True,1
Defensa,potential,True,2
Defensa,jumping,False,3
Defensa,acceleration,False,4
Defensa,understat_minutes,False,5
Defensa,headingaccuracy,False,6
Defensa,longshots,False,7
Defensa,strength,False,8
Defensa,understat_matches,False,9
Defensa,understat_xa,False,10
Defensa,crossing,False,11
Defensa,understat_yellow_cards,False,12
Defensa,understat_xg,False,13
Defensa,penalties,False,14
Defensa,ballcontrol,False,15
Defensa,standingtackle,False,16
Defensa,balance,False,17
Defensa,volleys,False,18
Centrocampista,overallrating,True,1
Centrocampista,potential,True,2
Centrocampista,jumping,False,3
Centrocampista,understat_goals,False,4
Centrocampista,strength,False,5
Centrocampista,vision,False,6
Centrocampista,headingaccuracy,False,7
Centrocampista,ballcontrol,False,8
Centrocampista,acceleration,False,9
Centrocampista,interceptions,False,10
Centrocampista,understat_matches,False,11
Centrocampista,reactions,False,12
Centrocampista,longpassing,False,13
Centrocampista,dribbling,False,14
Centrocampista,understat_assists,False,15
Centrocampista,standingtackle,False,16
Centrocampista,understat_minutes,False,17
Centrocampista,penalties,False,18
08_db_porteros_filtered_top40pct,overallrating,True,1
08_db_porteros_filtered_top40pct,potential,True,2
08_db_porteros_filtered_top40pct,volleys,False,3
08_db_porteros_filtered_top40pct,ballcontrol,False,4
08_db_porteros_filtered_top40pct,longshots,False,5
