Variable,Valores_Faltantes,Porcentaje
Proveedor,1168,62.29333333333334
comprado_por,557,29.706666666666663
Posición secundaria,533,28.426666666666666
understat_red_cards,352,18.773333333333333
understat_key_passes,352,18.773333333333333
understat_shots,352,18.773333333333333
understat_assists,352,18.773333333333333
understat_xa,352,18.773333333333333
understat_xg,352,18.773333333333333
understat_goals,352,18.773333333333333
understat_minutes,352,18.773333333333333
understat_matches,352,18.773333333333333
understat_yellow_cards,352,18.773333333333333
Posición específica,228,12.16
Pie bueno,14,0.7466666666666667
Lugar de nacimiento (país),11,0.5866666666666667
Nacionalidad,0,0.0
Nombre completo,0,0.0
Posición principal,0,0.0
Club actual,0,0.0
Fecha de fichaje,0,0.0
Valor de mercado actual (numérico),0,0.0
Fin de contrato,0,0.0
overallrating,0,0.0
potential,0,0.0
crossing,0,0.0
finishing,0,0.0
headingaccuracy,0,0.0
shortpassing,0,0.0
volleys,0,0.0
dribbling,0,0.0
curve,0,0.0
fk_accuracy,0,0.0
longpassing,0,0.0
ballcontrol,0,0.0
acceleration,0,0.0
sprintspeed,0,0.0
agility,0,0.0
reactions,0,0.0
balance,0,0.0
shotpower,0,0.0
jumping,0,0.0
stamina,0,0.0
strength,0,0.0
longshots,0,0.0
aggression,0,0.0
interceptions,0,0.0
positioning,0,0.0
vision,0,0.0
penalties,0,0.0
composure,0,0.0
defensiveawareness,0,0.0
standingtackle,0,0.0
slidingtackle,0,0.0
gk_diving,0,0.0
gk_handling,0,0.0
gk_kicking,0,0.0
gk_positioning,0,0.0
gk_reflexes,0,0.0
Valor_Predicho,0,0.0
